                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5997,                 3.7766,                 3.8485,                0.00511,                0.05371,                0.00286,                0.00094,                 3.9449,                 4.1549,                 3.2947,             0.00055313,             0.00055313,             0.00055313
                      2,                  2.212,                 2.8269,                 3.0681,                0.02747,                0.06394,                0.01551,                0.00453,                 3.3315,                 3.6772,                 2.6776,             0.00099903,             0.00099903,             0.00099903
                      3,                 1.8685,                 2.1852,                 2.6379,                0.01885,                0.21739,                0.02053,                0.00787,                  2.939,                 3.7237,                 2.2154,              0.0013349,              0.0013349,              0.0013349
                      4,                 1.6883,                 1.7871,                 2.3559,                 0.6067,                0.17136,                0.09675,                0.03069,                  2.672,                 2.3171,                 1.9572,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.5611,                 1.5598,                 2.1817,                0.64111,                0.16496,                0.12623,                 0.0439,                 2.5381,                 2.2181,                 1.8616,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.4786,                 1.3491,                 2.0567,                0.66922,                0.17391,                0.14922,                0.04817,                 2.5362,                 2.1101,                 1.8298,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.4175,                 1.2357,                 1.9759,                 0.2127,                  0.211,                0.18268,                0.06225,                 2.3788,                 1.8752,                 1.7711,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.3526,                 1.1321,                  1.889,                0.21141,                0.19949,                0.17366,                0.05001,                 2.6101,                 1.9678,                 1.8785,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.2764,                 1.0357,                 1.8116,                0.32646,                0.24936,                0.27373,                0.11493,                 2.1578,                 1.6138,                 1.6127,             0.00051177,             0.00051177,             0.00051177
                     10,                 1.2374,                0.96606,                 1.7654,                 0.3323,                0.25064,                0.29062,                0.12165,                 2.1534,                 1.6758,                 1.6202,             0.00034674,             0.00034674,             0.00034674
