                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0405,                 3.5771,                 3.8761,                0.00094,                0.00512,                0.00049,                0.00021,                 4.8203,                  5.674,                 4.5799,             0.00055313,             0.00055313,             0.00055313
                      2,                  2.318,                 2.7963,                 2.8566,                0.01113,                0.03708,                0.00557,                0.00165,                   3.43,                 4.2666,                 2.6131,              0.0010868,              0.0010868,              0.0010868
                      3,                    1.9,                 2.2251,                 2.3273,                0.07756,                 0.0601,                0.03856,                0.01248,                 2.9567,                 2.9462,                 2.1866,              0.0015985,              0.0015985,              0.0015985
                      4,                 1.7537,                  1.983,                 2.1538,                0.59029,                0.10614,                0.05731,                0.01788,                 2.6675,                 2.6311,                 1.9972,               0.001568,               0.001568,               0.001568
                      5,                 1.5881,                 1.7001,                 1.9752,                0.15049,                 0.1445,                0.10478,                0.03808,                 2.4673,                 2.5328,                 1.8575,               0.001568,               0.001568,               0.001568
                      6,                 1.5174,                 1.5501,                 1.8901,                0.68098,                0.13171,                0.11051,                0.03701,                 2.6157,                 2.5603,                 1.9206,               0.001535,               0.001535,               0.001535
                      7,                 1.4466,                 1.4212,                 1.8131,                0.72876,                0.20716,                0.20807,                 0.0788,                 2.2596,                 1.8726,                 1.7189,               0.001502,               0.001502,               0.001502
                      8,                   1.41,                 1.3452,                 1.7734,                0.69425,                0.18442,                0.15324,                0.04985,                 2.5372,                 2.0789,                 1.8328,               0.001469,               0.001469,               0.001469
                      9,                 1.3384,                 1.2368,                 1.7059,                0.23612,                0.17507,                0.17762,                0.05829,                  2.335,                 1.9477,                 1.7372,               0.001436,               0.001436,               0.001436
                     10,                 1.3331,                  1.201,                 1.6931,                0.25598,                0.22379,                0.22273,                0.08295,                 2.3844,                  1.764,                 1.7888,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.2759,                 1.1331,                 1.6619,                0.31391,                0.20588,                0.25295,                0.10044,                 2.1604,                 1.7289,                 1.6047,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.2611,                 1.0814,                 1.6349,                0.78613,                0.27372,                0.30292,                0.13196,                 2.0383,                 1.6082,                 1.5471,              0.0013369,              0.0013369,              0.0013369
